Year, 2017, Month, 0, OMonth, 1, Dr, 2, Clwn, 1, Grn, 1.58, T, 24.65, Precip, 8.21
Year, 2018, Month, 8, OMonth, 21, Dr, 2, Clwn, 0, Grn, 5.19, T, 45.49, Precip, 0.00
Year, 2018, Month, 9, OMonth, 22, Dr, 3, Clwn, 1, Grn, 6.37, T, 50.66, Precip, 0.00
Year, 2018, Month, 10, OMonth, 23, Dr, 4, Clwn, 2, Grn, 5.81, T, 32.02, Precip, 3.60
Year, 2018, Month, 11, OMonth, 24, Dr, 5, Clwn, 3, Grn, 6.62, T, 23.33, Precip, 4.07
Year, 2019, Month, 0, OMonth, 25, Dr, 6, Clwn, 4, Grn, 4.47, T, 33.26, Precip, 6.96
Year, 2019, Month, 1, OMonth, 26, Dr, 5, Clwn, 5, Grn, 6.10, T, 29.66, Precip, 10.05
Year, 2019, Month, 2, OMonth, 27, Dr, 0, Clwn, 3, Grn, 6.35, T, 49.33, Precip, 13.44
Year, 2019, Month, 3, OMonth, 28, Dr, 1, Clwn, 1, Grn, 9.32, T, 60.32, Precip, 10.69
Year, 2019, Month, 4, OMonth, 29, Dr, 2, Clwn, 0, Grn, 8.95, T, 60.03, Precip, 10.96
Year, 2019, Month, 5, OMonth, 30, Dr, 3, Clwn, 1, Grn, 8.09, T, 75.78, Precip, 8.55
Year, 2019, Month, 6, OMonth, 31, Dr, 4, Clwn, 2, Grn, 6.59, T, 63.78, Precip, 2.53
Year, 2019, Month, 7, OMonth, 32, Dr, 5, Clwn, 3, Grn, 4.61, T, 66.97, Precip, 3.58
Year, 2019, Month, 8, OMonth, 33, Dr, 4, Clwn, 4, Grn, 2.11, T, 49.65, Precip, 0.19
Year, 2019, Month, 9, OMonth, 34, Dr, 3, Clwn, 2, Grn, 1.32, T, 41.09, Precip, 0.00
Year, 2019, Month, 10, OMonth, 35, Dr, 2, Clwn, 3, Grn, 2.72, T, 38.31, Precip, 2.83
Year, 2019, Month, 11, OMonth, 36, Dr, 3, Clwn, 1, Grn, 6.37, T, 27.49, Precip, 4.17
Year, 2020, Month, 0, OMonth, 37, Dr, 4, Clwn, 2, Grn, 6.06, T, 37.93, Precip, 8.03
Year, 2020, Month, 1, OMonth, 38, Dr, 5, Clwn, 3, Grn, 11.44, T, 27.02, Precip, 11.71
Year, 2020, Month, 2, OMonth, 39, Dr, 6, Clwn, 4, Grn, 10.38, T, 40.21, Precip, 11.32
Year, 2020, Month, 3, OMonth, 40, Dr, 7, Clwn, 5, Grn, 15.24, T, 62.18, Precip, 12.80
Year, 2020, Month, 4, OMonth, 41, Dr, 0, Clwn, 6, Grn, 11.79, T, 64.27, Precip, 9.29
Year, 2020, Month, 5, OMonth, 42, Dr, 0, Clwn, 4, Grn, 11.81, T, 68.35, Precip, 7.78
Year, 2020, Month, 6, OMonth, 43, Dr, 1, Clwn, 2, Grn, 11.81, T, 64.45, Precip, 3.98
Year, 2020, Month, 7, OMonth, 44, Dr, 2, Clwn, 0, Grn, 11.33, T, 60.00, Precip, 0.67
Year, 2020, Month, 8, OMonth, 45, Dr, 3, Clwn, 1, Grn, 10.39, T, 46.72, Precip, 0.14
Year, 2020, Month, 9, OMonth, 46, Dr, 4, Clwn, 2, Grn, 10.82, T, 42.63, Precip, 0.00
Year, 2020, Month, 10, OMonth, 47, Dr, 5, Clwn, 3, Grn, 11.56, T, 34.12, Precip, 3.25
Year, 2020, Month, 11, OMonth, 48, Dr, 6, Clwn, 4, Grn, 12.65, T, 37.71, Precip, 3.94
Year, 2021, Month, 0, OMonth, 49, Dr, 7, Clwn, 5, Grn, 14.91, T, 38.49, Precip, 7.57
Year, 2021, Month, 1, OMonth, 50, Dr, 0, Clwn, 6, Grn, 18.78, T, 35.53, Precip, 8.38
Year, 2021, Month, 2, OMonth, 51, Dr, 0, Clwn, 4, Grn, 25.16, T, 50.70, Precip, 11.01
Year, 2021, Month, 3, OMonth, 52, Dr, 1, Clwn, 2, Grn, 27.68, T, 53.48, Precip, 12.54
Year, 2021, Month, 4, OMonth, 53, Dr, 2, Clwn, 0, Grn, 28.40, T, 57.97, Precip, 9.29
Year, 2021, Month, 5, OMonth, 54, Dr, 3, Clwn, 1, Grn, 27.71, T, 67.12, Precip, 9.51
Year, 2021, Month, 6, OMonth, 55, Dr, 4, Clwn, 2, Grn, 26.22, T, 61.17, Precip, 4.98
Year, 2021, Month, 7, OMonth, 56, Dr, 5, Clwn, 3, Grn, 24.29, T, 65.98, Precip, 1.78
Year, 2021, Month, 8, OMonth, 57, Dr, 6, Clwn, 4, Grn, 21.79, T, 62.99, Precip, 0.57
Year, 2021, Month, 9, OMonth, 58, Dr, 7, Clwn, 5, Grn, 18.81, T, 40.37, Precip, 1.06
Year, 2021, Month, 10, OMonth, 59, Dr, 0, Clwn, 6, Grn, 18.90, T, 44.92, Precip, 2.91
Year, 2021, Month, 11, OMonth, 60, Dr, 0, Clwn, 4, Grn, 22.70, T, 37.10, Precip, 3.09
Year, 2022, Month, 0, OMonth, 61, Dr, 1, Clwn, 2, Grn, 27.26, T, 28.67, Precip, 9.24
Year, 2022, Month, 1, OMonth, 62, Dr, 2, Clwn, 0, Grn, 28.96, T, 29.21, Precip, 9.84
Year, 2022, Month, 2, OMonth, 63, Dr, 3, Clwn, 1, Grn, 30.46, T, 54.17, Precip, 12.85
Year, 2022, Month, 3, OMonth, 64, Dr, 4, Clwn, 2, Grn, 29.95, T, 48.93, Precip, 11.10
Year, 2022, Month, 4, OMonth, 65, Dr, 5, Clwn, 3, Grn, 31.51, T, 65.82, Precip, 9.83
Year, 2022, Month, 5, OMonth, 66, Dr, 6, Clwn, 4, Grn, 29.02, T, 73.80, Precip, 9.50
Year, 2022, Month, 6, OMonth, 67, Dr, 7, Clwn, 5, Grn, 26.02, T, 77.58, Precip, 4.83
Year, 2022, Month, 7, OMonth, 68, Dr, 0, Clwn, 6, Grn, 22.52, T, 55.16, Precip, 1.81
Year, 2022, Month, 8, OMonth, 69, Dr, 0, Clwn, 4, Grn, 22.93, T, 49.84, Precip, 0.00
Year, 2022, Month, 9, OMonth, 70, Dr, 1, Clwn, 2, Grn, 24.05, T, 44.10, Precip, 1.77
Year, 2022, Month, 10, OMonth, 71, Dr, 2, Clwn, 0, Grn, 26.98, T, 26.48, Precip, 0.44
Year, 2022, Month, 11, OMonth, 72, Dr, 3, Clwn, 1, Grn, 26.50, T, 26.41, Precip, 4.74
